# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-12-08 23:45:32 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06934500 Missouri River at Hermann, MO
# -----------------------------------------------------------------------------------
#
# Data provided for site 06934500
#            TS   parameter     statistic     Description
#         75911       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	75911_00060_00003	75911_00060_00003_cd
USGS	06934500	1929-02-02	34600	A
USGS	06934500	1929-02-03	34600	A
USGS	06934500	1929-02-04	33800	A
USGS	06934500	1929-02-05	33100	A
USGS	06934500	1929-02-06	32400	A
USGS	06934500	1929-02-07	31700	A
USGS	06934500	1929-02-08	31000	A
USGS	06934500	1929-02-09	30400	A
USGS	06934500	1929-02-10	29700	A
USGS	06934500	1929-02-11	29000	A
USGS	06934500	1929-02-12	29000	A
USGS	06934500	1929-02-13	28400	A
USGS	06934500	1929-02-14	27800	A
USGS	06934500	1929-02-15	27200	A
USGS	06934500	1929-02-16	27200	A
USGS	06934500	1929-02-17	26600	A
USGS	06934500	1929-02-18	26600	A
USGS	06934500	1929-02-19	29000	A
USGS	06934500	1929-02-20	33800	A
USGS	06934500	1929-02-21	38500	A
USGS	06934500	1929-02-22	39300	A
USGS	06934500	1929-02-23	39300	A
USGS	06934500	1929-02-24	39300	A
USGS	06934500	1929-02-25	40900	A
USGS	06934500	1929-02-26	51500	A
USGS	06934500	1929-02-27	77000	A
USGS	06934500	1929-02-28	92900	A
USGS	06934500	1929-03-01	156000	A
USGS	06934500	1929-03-02	143000	A
USGS	06934500	1929-03-03	134000	A
USGS	06934500	1929-03-04	130000	A
USGS	06934500	1929-03-05	128000	A
USGS	06934500	1929-03-06	121000	A
USGS	06934500	1929-03-07	110000	A
USGS	06934500	1929-03-08	107000	A
USGS	06934500	1929-03-09	114000	A
USGS	06934500	1929-03-10	135000	A
USGS	06934500	1929-03-11	138000	A
USGS	06934500	1929-03-12	131000	A
USGS	06934500	1929-03-13	138000	A
USGS	06934500	1929-03-14	140000	A
USGS	06934500	1929-03-15	134000	A
USGS	06934500	1929-03-16	268000	A
USGS	06934500	1929-03-17	282000	A
USGS	06934500	1929-03-18	252000	A
USGS	06934500	1929-03-19	230000	A
USGS	06934500	1929-03-20	214000	A
USGS	06934500	1929-03-21	178000	A
USGS	06934500	1929-03-22	147000	A
USGS	06934500	1929-03-23	141000	A
USGS	06934500	1929-03-24	143000	A
USGS	06934500	1929-03-25	126000	A
USGS	06934500	1929-03-26	137000	A
USGS	06934500	1929-03-27	133000	A
USGS	06934500	1929-03-28	135000	A
USGS	06934500	1929-03-29	158000	A
USGS	06934500	1929-03-30	160000	A
USGS	06934500	1929-03-31	153000	A
USGS	06934500	1929-04-01	147000	A
USGS	06934500	1929-04-02	197000	A
USGS	06934500	1929-04-03	204000	A
USGS	06934500	1929-04-04	207000	A
USGS	06934500	1929-04-05	222000	A
USGS	06934500	1929-04-06	212000	A
USGS	06934500	1929-04-07	182000	A
USGS	06934500	1929-04-08	149000	A
USGS	06934500	1929-04-09	164000	A
USGS	06934500	1929-04-10	252000	A
USGS	06934500	1929-04-11	282000	A
USGS	06934500	1929-04-12	274000	A
USGS	06934500	1929-04-13	271000	A
USGS	06934500	1929-04-14	252000	A
USGS	06934500	1929-04-15	217000	A
USGS	06934500	1929-04-16	182000	A
USGS	06934500	1929-04-17	160000	A
USGS	06934500	1929-04-18	160000	A
USGS	06934500	1929-04-19	151000	A
USGS	06934500	1929-04-20	135000	A
USGS	06934500	1929-04-21	151000	A
USGS	06934500	1929-04-22	224000	A
USGS	06934500	1929-04-23	280000	A
USGS	06934500	1929-04-24	310000	A
USGS	06934500	1929-04-25	353000	A
USGS	06934500	1929-04-26	368000	A
USGS	06934500	1929-04-27	341000	A
USGS	06934500	1929-04-28	288000	A
USGS	06934500	1929-04-29	246000	A
USGS	06934500	1929-04-30	220000	A
USGS	06934500	1929-05-01	197000	A
USGS	06934500	1929-05-02	197000	A
USGS	06934500	1929-05-03	254000	A
USGS	06934500	1929-05-04	235000	A
USGS	06934500	1929-05-05	222000	A
USGS	06934500	1929-05-06	182000	A
USGS	06934500	1929-05-07	194000	A
USGS	06934500	1929-05-08	182000	A
USGS	06934500	1929-05-09	184000	A
USGS	06934500	1929-05-10	184000	A
USGS	06934500	1929-05-11	175000	A
USGS	06934500	1929-05-12	164000	A
USGS	06934500	1929-05-13	220000	A
USGS	06934500	1929-05-14	316000	A
USGS	06934500	1929-05-15	335000	A
USGS	06934500	1929-05-16	318000	A
USGS	06934500	1929-05-17	287000	A
USGS	06934500	1929-05-18	253000	A
USGS	06934500	1929-05-19	395000	A
USGS	06934500	1929-05-20	353000	A
USGS	06934500	1929-05-21	304000	A
USGS	06934500	1929-05-22	267000	A
USGS	06934500	1929-05-23	242000	A
USGS	06934500	1929-05-24	223000	A
USGS	06934500	1929-05-25	207000	A
USGS	06934500	1929-05-26	195000	A
USGS	06934500	1929-05-27	185000	A
USGS	06934500	1929-05-28	177000	A
USGS	06934500	1929-05-29	154000	A
USGS	06934500	1929-05-30	120000	A
USGS	06934500	1929-05-31	107000	A
USGS	06934500	1929-06-01	114000	A
USGS	06934500	1929-06-02	153000	A
USGS	06934500	1929-06-03	252000	A
USGS	06934500	1929-06-04	330000	A
USGS	06934500	1929-06-05	368000	A
USGS	06934500	1929-06-06	380000	A
USGS	06934500	1929-06-07	398000	A
USGS	06934500	1929-06-08	407000	A
USGS	06934500	1929-06-09	398000	A
USGS	06934500	1929-06-10	356000	A
USGS	06934500	1929-06-11	318000	A
USGS	06934500	1929-06-12	281000	A
USGS	06934500	1929-06-13	304000	A
USGS	06934500	1929-06-14	251000	A
USGS	06934500	1929-06-15	212000	A
USGS	06934500	1929-06-16	192000	A
USGS	06934500	1929-06-17	187000	A
USGS	06934500	1929-06-18	192000	A
USGS	06934500	1929-06-19	207000	A
USGS	06934500	1929-06-20	192000	A
USGS	06934500	1929-06-21	171000	A
USGS	06934500	1929-06-22	169000	A
USGS	06934500	1929-06-23	192000	A
USGS	06934500	1929-06-24	222000	A
USGS	06934500	1929-06-25	277000	A
USGS	06934500	1929-06-26	296000	A
USGS	06934500	1929-06-27	277000	A
USGS	06934500	1929-06-28	224000	A
USGS	06934500	1929-06-29	190000	A
USGS	06934500	1929-06-30	162000	A
USGS	06934500	1929-07-01	147000	A
USGS	06934500	1929-07-02	141000	A
USGS	06934500	1929-07-03	126000	A
USGS	06934500	1929-07-04	107000	A
USGS	06934500	1929-07-05	95500	A
USGS	06934500	1929-07-06	86600	A
USGS	06934500	1929-07-07	81800	A
USGS	06934500	1929-07-08	85400	A
USGS	06934500	1929-07-09	156000	A
USGS	06934500	1929-07-10	197000	A
USGS	06934500	1929-07-11	169000	A
USGS	06934500	1929-07-12	145000	A
USGS	06934500	1929-07-13	137000	A
USGS	06934500	1929-07-14	135000	A
USGS	06934500	1929-07-15	145000	A
USGS	06934500	1929-07-16	135000	A
USGS	06934500	1929-07-17	125000	A
USGS	06934500	1929-07-18	126000	A
USGS	06934500	1929-07-19	147000	A
USGS	06934500	1929-07-20	137000	A
USGS	06934500	1929-07-21	119000	A
USGS	06934500	1929-07-22	107000	A
USGS	06934500	1929-07-23	97000	A
USGS	06934500	1929-07-24	88400	A
USGS	06934500	1929-07-25	80000	A
USGS	06934500	1929-07-26	73000	A
USGS	06934500	1929-07-27	68000	A
USGS	06934500	1929-07-28	64000	A
USGS	06934500	1929-07-29	62000	A
USGS	06934500	1929-07-30	60000	A
USGS	06934500	1929-07-31	57000	A
USGS	06934500	1929-08-01	51500	A
USGS	06934500	1929-08-02	50600	A
USGS	06934500	1929-08-03	59000	A
USGS	06934500	1929-08-04	70000	A
USGS	06934500	1929-08-05	64000	A
USGS	06934500	1929-08-06	56000	A
USGS	06934500	1929-08-07	54000	A
USGS	06934500	1929-08-08	52000	A
USGS	06934500	1929-08-09	51000	A
USGS	06934500	1929-08-10	49800	A
USGS	06934500	1929-08-11	49800	A
USGS	06934500	1929-08-12	53300	A
USGS	06934500	1929-08-13	48200	A
USGS	06934500	1929-08-14	47400	A
USGS	06934500	1929-08-15	44400	A
USGS	06934500	1929-08-16	41600	A
USGS	06934500	1929-08-17	39600	A
USGS	06934500	1929-08-18	38400	A
USGS	06934500	1929-08-19	37800	A
USGS	06934500	1929-08-20	36000	A
USGS	06934500	1929-08-21	34200	A
USGS	06934500	1929-08-22	33600	A
USGS	06934500	1929-08-23	32500	A
USGS	06934500	1929-08-24	31500	A
USGS	06934500	1929-08-25	31000	A
USGS	06934500	1929-08-26	30500	A
USGS	06934500	1929-08-27	30000	A
USGS	06934500	1929-08-28	31000	A
USGS	06934500	1929-08-29	30500	A
USGS	06934500	1929-08-30	29500	A
USGS	06934500	1929-08-31	29100	A
USGS	06934500	1929-09-01	29100	A
USGS	06934500	1929-09-02	28700	A
USGS	06934500	1929-09-03	28300	A
USGS	06934500	1929-09-04	27900	A
USGS	06934500	1929-09-05	27500	A
USGS	06934500	1929-09-06	28700	A
USGS	06934500	1929-09-07	29100	A
USGS	06934500	1929-09-08	29500	A
USGS	06934500	1929-09-09	28700	A
USGS	06934500	1929-09-10	27900	A
USGS	06934500	1929-09-11	27500	A
USGS	06934500	1929-09-12	27500	A
USGS	06934500	1929-09-13	29500	A
USGS	06934500	1929-09-14	32000	A
USGS	06934500	1929-09-15	32500	A
USGS	06934500	1929-09-16	31000	A
USGS	06934500	1929-09-17	28300	A
USGS	06934500	1929-09-18	27900	A
USGS	06934500	1929-09-19	27200	A
USGS	06934500	1929-09-20	27200	A
USGS	06934500	1929-09-21	26400	A
USGS	06934500	1929-09-22	26100	A
USGS	06934500	1929-09-23	26400	A
USGS	06934500	1929-09-24	28700	A
USGS	06934500	1929-09-25	28300	A
USGS	06934500	1929-09-26	27200	A
USGS	06934500	1929-09-27	26800	A
USGS	06934500	1929-09-28	26400	A
USGS	06934500	1929-09-29	25800	A
USGS	06934500	1929-09-30	25500	A
USGS	06934500	1929-10-01	25800	A
USGS	06934500	1929-10-02	25800	A
USGS	06934500	1929-10-03	25200	A
USGS	06934500	1929-10-04	24700	A
USGS	06934500	1929-10-05	24700	A
USGS	06934500	1929-10-06	25200	A
USGS	06934500	1929-10-07	25200	A
USGS	06934500	1929-10-08	26900	A
USGS	06934500	1929-10-09	28000	A
USGS	06934500	1929-10-10	30300	A
USGS	06934500	1929-10-11	35400	A
USGS	06934500	1929-10-12	39400	A
USGS	06934500	1929-10-13	45400	A
USGS	06934500	1929-10-14	52000	A
USGS	06934500	1929-10-15	58000	A
USGS	06934500	1929-10-16	60000	A
USGS	06934500	1929-10-17	50800	A
USGS	06934500	1929-10-18	46000	A
USGS	06934500	1929-10-19	44800	A
USGS	06934500	1929-10-20	41200	A
USGS	06934500	1929-10-21	35400	A
USGS	06934500	1929-10-22	35400	A
USGS	06934500	1929-10-23	35400	A
USGS	06934500	1929-10-24	37100	A
USGS	06934500	1929-10-25	40600	A
USGS	06934500	1929-10-26	40000	A
USGS	06934500	1929-10-27	36500	A
USGS	06934500	1929-10-28	34800	A
USGS	06934500	1929-10-29	34800	A
USGS	06934500	1929-10-30	40000	A
USGS	06934500	1929-10-31	46600	A
USGS	06934500	1929-11-01	61000	A
USGS	06934500	1929-11-02	70800	A
USGS	06934500	1929-11-03	80700	A
USGS	06934500	1929-11-04	81800	A
USGS	06934500	1929-11-05	78500	A
USGS	06934500	1929-11-06	68600	A
USGS	06934500	1929-11-07	60000	A
USGS	06934500	1929-11-08	50200	A
USGS	06934500	1929-11-09	45400	A
USGS	06934500	1929-11-10	44200	A
USGS	06934500	1929-11-11	40600	A
USGS	06934500	1929-11-12	39400	A
USGS	06934500	1929-11-13	38300	A
USGS	06934500	1929-11-14	38300	A
USGS	06934500	1929-11-15	38300	A
USGS	06934500	1929-11-16	39400	A
USGS	06934500	1929-11-17	46000	A
USGS	06934500	1929-11-18	48400	A
USGS	06934500	1929-11-19	46000	A
USGS	06934500	1929-11-20	44800	A
USGS	06934500	1929-11-21	43000	A
USGS	06934500	1929-11-22	40600	A
USGS	06934500	1929-11-23	38300	A
USGS	06934500	1929-11-24	35900	A
USGS	06934500	1929-11-25	34200	A
USGS	06934500	1929-11-26	32500	A
USGS	06934500	1929-11-27	32500	A
USGS	06934500	1929-11-28	30300	A
USGS	06934500	1929-11-29	28600	A
USGS	06934500	1929-11-30	28000	A
USGS	06934500	1929-12-01	23700	A
USGS	06934500	1929-12-02	23200	A
USGS	06934500	1929-12-03	23200	A
USGS	06934500	1929-12-04	25200	A
USGS	06934500	1929-12-05	27500	A
USGS	06934500	1929-12-06	24700	A
USGS	06934500	1929-12-07	25800	A
USGS	06934500	1929-12-08	23200	A
USGS	06934500	1929-12-09	20600	A
USGS	06934500	1929-12-10	19300	A
USGS	06934500	1929-12-11	18900	A
USGS	06934500	1929-12-12	18900	A
USGS	06934500	1929-12-13	18900	A
USGS	06934500	1929-12-14	21000	A
USGS	06934500	1929-12-15	21900	A
USGS	06934500	1929-12-16	21900	A
USGS	06934500	1929-12-17	22300	A
USGS	06934500	1929-12-18	23700	A
USGS	06934500	1929-12-19	26400	A
USGS	06934500	1929-12-20	26400	A
USGS	06934500	1929-12-21	23200	A
USGS	06934500	1929-12-22	21000	A
USGS	06934500	1929-12-23	18900	A
USGS	06934500	1929-12-24	16900	A
USGS	06934500	1929-12-25	15000	A
USGS	06934500	1929-12-26	15000	A
USGS	06934500	1929-12-27	15000	A
USGS	06934500	1929-12-28	15000	A
USGS	06934500	1929-12-29	16100	A
USGS	06934500	1929-12-30	16100	A
USGS	06934500	1929-12-31	17300	A
USGS	06934500	1930-01-01	19700	A
USGS	06934500	1930-01-02	41200	A
USGS	06934500	1930-01-03	43600	A
USGS	06934500	1930-01-04	37100	A
USGS	06934500	1930-01-05	34200	A
USGS	06934500	1930-01-06	33100	A
USGS	06934500	1930-01-07	32500	A
USGS	06934500	1930-01-08	32500	A
USGS	06934500	1930-01-09	32500	A
USGS	06934500	1930-01-10	32500	A
USGS	06934500	1930-01-11	33600	A
USGS	06934500	1930-01-12	41200	A
USGS	06934500	1930-01-13	47200	A
USGS	06934500	1930-01-14	56000	A
USGS	06934500	1930-01-15	50200	A
USGS	06934500	1930-01-16	47800	A
USGS	06934500	1930-01-17	39400	A
USGS	06934500	1930-01-18	28000	A
USGS	06934500	1930-01-19	25800	A
USGS	06934500	1930-01-20	24700	A
USGS	06934500	1930-01-21	24200	A
USGS	06934500	1930-01-22	23200	A
USGS	06934500	1930-01-23	22800	A
USGS	06934500	1930-01-24	22300	A
USGS	06934500	1930-01-25	21900	A
USGS	06934500	1930-01-26	21900	A
USGS	06934500	1930-01-27	21400	A
USGS	06934500	1930-01-28	21400	A
USGS	06934500	1930-01-29	21400	A
USGS	06934500	1930-01-30	21400	A
USGS	06934500	1930-01-31	21400	A
USGS	06934500	1930-02-01	22300	A
USGS	06934500	1930-02-02	24700	A
USGS	06934500	1930-02-03	33100	A
USGS	06934500	1930-02-04	44800	A
USGS	06934500	1930-02-05	54000	A
USGS	06934500	1930-02-06	66400	A
USGS	06934500	1930-02-07	86400	A
USGS	06934500	1930-02-08	79600	A
USGS	06934500	1930-02-09	90000	A
USGS	06934500	1930-02-10	110000	A
USGS	06934500	1930-02-11	120000	A
USGS	06934500	1930-02-12	121000	A
USGS	06934500	1930-02-13	116000	A
USGS	06934500	1930-02-14	109000	A
USGS	06934500	1930-02-15	96000	A
USGS	06934500	1930-02-16	75200	A
USGS	06934500	1930-02-17	68600	A
USGS	06934500	1930-02-18	63100	A
USGS	06934500	1930-02-19	56000	A
USGS	06934500	1930-02-20	51400	A
USGS	06934500	1930-02-21	50200	A
USGS	06934500	1930-02-22	66500	A
USGS	06934500	1930-02-23	82900	A
USGS	06934500	1930-02-24	90000	A
USGS	06934500	1930-02-25	85200	A
USGS	06934500	1930-02-26	81800	A
USGS	06934500	1930-02-27	92400	A
USGS	06934500	1930-02-28	97400	A
USGS	06934500	1930-03-01	89800	A
USGS	06934500	1930-03-02	80800	A
USGS	06934500	1930-03-03	73100	A
USGS	06934500	1930-03-04	69800	A
USGS	06934500	1930-03-05	77500	A
USGS	06934500	1930-03-06	73100	A
USGS	06934500	1930-03-07	58400	A
USGS	06934500	1930-03-08	51800	A
USGS	06934500	1930-03-09	48200	A
USGS	06934500	1930-03-10	47600	A
USGS	06934500	1930-03-11	47600	A
USGS	06934500	1930-03-12	72000	A
USGS	06934500	1930-03-13	79700	A
USGS	06934500	1930-03-14	75300	A
USGS	06934500	1930-03-15	70900	A
USGS	06934500	1930-03-16	83000	A
USGS	06934500	1930-03-17	84100	A
USGS	06934500	1930-03-18	83000	A
USGS	06934500	1930-03-19	87400	A
USGS	06934500	1930-03-20	93400	A
USGS	06934500	1930-03-21	93400	A
USGS	06934500	1930-03-22	89800	A
USGS	06934500	1930-03-23	85200	A
USGS	06934500	1930-03-24	85200	A
USGS	06934500	1930-03-25	80800	A
USGS	06934500	1930-03-26	74200	A
USGS	06934500	1930-03-27	70900	A
USGS	06934500	1930-03-28	74200	A
USGS	06934500	1930-03-29	74200	A
USGS	06934500	1930-03-30	69800	A
USGS	06934500	1930-03-31	67600	A
USGS	06934500	1930-04-01	70300	A
USGS	06934500	1930-04-02	73600	A
USGS	06934500	1930-04-03	71400	A
USGS	06934500	1930-04-04	65900	A
USGS	06934500	1930-04-05	61800	A
USGS	06934500	1930-04-06	57800	A
USGS	06934500	1930-04-07	54800	A
USGS	06934500	1930-04-08	55800	A
USGS	06934500	1930-04-09	54800	A
USGS	06934500	1930-04-10	54800	A
USGS	06934500	1930-04-11	53600	A
USGS	06934500	1930-04-12	51200	A
USGS	06934500	1930-04-13	52400	A
USGS	06934500	1930-04-14	52400	A
USGS	06934500	1930-04-15	80200	A
USGS	06934500	1930-04-16	86800	A
USGS	06934500	1930-04-17	81300	A
USGS	06934500	1930-04-18	72500	A
USGS	06934500	1930-04-19	80200	A
USGS	06934500	1930-04-20	83500	A
USGS	06934500	1930-04-21	72500	A
USGS	06934500	1930-04-22	61800	A
USGS	06934500	1930-04-23	56800	A
USGS	06934500	1930-04-24	56800	A
USGS	06934500	1930-04-25	55800	A
USGS	06934500	1930-04-26	54000	A
USGS	06934500	1930-04-27	61000	A
USGS	06934500	1930-04-28	66300	A
USGS	06934500	1930-04-29	66300	A
USGS	06934500	1930-04-30	66300	A
USGS	06934500	1930-05-01	65300	A
USGS	06934500	1930-05-02	63100	A
USGS	06934500	1930-05-03	67500	A
USGS	06934500	1930-05-04	86400	A
USGS	06934500	1930-05-05	97400	A
USGS	06934500	1930-05-06	91200	A
USGS	06934500	1930-05-07	85200	A
USGS	06934500	1930-05-08	74100	A
USGS	06934500	1930-05-09	69700	A
USGS	06934500	1930-05-10	81800	A
USGS	06934500	1930-05-11	140000	A
USGS	06934500	1930-05-12	150000	A
USGS	06934500	1930-05-13	150000	A
USGS	06934500	1930-05-14	146000	A
USGS	06934500	1930-05-15	150000	A
USGS	06934500	1930-05-16	152000	A
USGS	06934500	1930-05-17	150000	A
USGS	06934500	1930-05-18	144000	A
USGS	06934500	1930-05-19	136000	A
USGS	06934500	1930-05-20	134000	A
USGS	06934500	1930-05-21	139000	A
USGS	06934500	1930-05-22	132000	A
USGS	06934500	1930-05-23	118000	A
USGS	06934500	1930-05-24	107000	A
USGS	06934500	1930-05-25	100000	A
USGS	06934500	1930-05-26	100000	A
USGS	06934500	1930-05-27	96000	A
USGS	06934500	1930-05-28	87600	A
USGS	06934500	1930-05-29	80700	A
USGS	06934500	1930-05-30	73000	A
USGS	06934500	1930-05-31	66400	A
USGS	06934500	1930-06-01	63700	A
USGS	06934500	1930-06-02	59700	A
USGS	06934500	1930-06-03	56700	A
USGS	06934500	1930-06-04	54700	A
USGS	06934500	1930-06-05	52500	A
USGS	06934500	1930-06-06	51900	A
USGS	06934500	1930-06-07	51300	A
USGS	06934500	1930-06-08	59700	A
USGS	06934500	1930-06-09	92900	A
USGS	06934500	1930-06-10	108000	A
USGS	06934500	1930-06-11	100000	A
USGS	06934500	1930-06-12	89300	A
USGS	06934500	1930-06-13	82400	A
USGS	06934500	1930-06-14	79100	A
USGS	06934500	1930-06-15	78000	A
USGS	06934500	1930-06-16	90500	A
USGS	06934500	1930-06-17	106000	A
USGS	06934500	1930-06-18	130000	A
USGS	06934500	1930-06-19	164000	A
USGS	06934500	1930-06-20	150000	A
USGS	06934500	1930-06-21	122000	A
USGS	06934500	1930-06-22	102000	A
USGS	06934500	1930-06-23	91700	A
USGS	06934500	1930-06-24	82400	A
USGS	06934500	1930-06-25	76900	A
USGS	06934500	1930-06-26	70300	A
USGS	06934500	1930-06-27	68100	A
USGS	06934500	1930-06-28	83500	A
USGS	06934500	1930-06-29	89300	A
USGS	06934500	1930-06-30	81300	A
USGS	06934500	1930-07-01	71900	A
USGS	06934500	1930-07-02	69700	A
USGS	06934500	1930-07-03	77400	A
USGS	06934500	1930-07-04	76300	A
USGS	06934500	1930-07-05	68600	A
USGS	06934500	1930-07-06	60000	A
USGS	06934500	1930-07-07	55000	A
USGS	06934500	1930-07-08	50200	A
